Proceso,Variable,N,Minimo,P25,Mediana,P75,Maximo
Almacenamiento,Temperatura_Proceso,1222,-19.783,-17.481,-16.908,-16.1075,-12.242
Almacenamiento,Vibracion_Equipo,1222,0.2,0.569,0.9285000000000001,1.22625,4.203
Almacenamiento,Presion_Sistema,1222,1.3,1.8952499999999999,2.082,2.28675,2.976
Almacenamiento,Corriente_Motor,1222,24.805,31.05375,34.6055,37.25375,47.754
Almacenamiento,Caudal_Proceso,1222,20.696,36.298,39.671,42.554,51.173
Almacenamiento,Nivel_Sistema,1222,66.705,81.71799999999999,84.03450000000001,86.78675000000001,92.194
Almacenamiento,Velocidad_Accionamiento,1222,638.294,753.719,775.251,794.5945,862.674
Almacenamiento,Horas_Operacion,1222,8145.197,11787.7475,13799.479,15716.90925,19254.718
Congelación,Temperatura_Proceso,3666,-26.547,-23.9145,-22.618,-21.458,-15.174
Congelación,Vibracion_Equipo,3666,1.212,1.812,2.005,2.34,5.109
Congelación,Presion_Sistema,3666,2.289,3.246,3.62,3.863,4.853
Congelación,Corriente_Motor,3666,31.217,38.5915,40.738,42.9045,53.458
Congelación,Caudal_Proceso,3666,90.044,112.57624999999999,117.979,121.9065,133.699
Congelación,Nivel_Sistema,3666,61.285,75.9045,78.003,80.2555,89.544
Congelación,Velocidad_Accionamiento,3666,1173.143,1403.72725,1450.4325,1488.244,1564.467
Congelación,Horas_Operacion,3666,7751.554,14426.5005,17550.913500000002,20081.456,25385.087
Envasado,Temperatura_Proceso,4888,-6.905,-3.257,-1.939,-0.963,4.01
Envasado,Vibracion_Equipo,4888,1.319,2.449,2.741,3.10325,5.983
Envasado,Presion_Sistema,4888,1.555,2.422,2.705,2.895,3.763
Envasado,Corriente_Motor,4888,36.895,45.403,48.1365,51.59825,67.904
Envasado,Caudal_Proceso,4888,37.942,55.9175,60.587,65.05575,84.88
Envasado,Nivel_Sistema,4888,49.171,65.427,67.781,73.35074999999999,81.074
Envasado,Velocidad_Accionamiento,4888,1379.011,1540.19,1607.5325,1653.89625,1778.218
Envasado,Horas_Operacion,4888,5835.96,10565.945249999999,13350.218499999999,17012.856,24437.195
Preparación,Temperatura_Proceso,5499,0.418,4.705,6.48,8.2005,15.435
Preparación,Vibracion_Equipo,5499,0.508,1.301,1.586,2.05,5.074
Preparación,Presion_Sistema,5499,1.425,2.027,2.311,2.589,3.55
Preparación,Corriente_Motor,5499,25.645,35.5065,37.846,40.673500000000004,52.292
Preparación,Caudal_Proceso,5499,75.639,93.42099999999999,98.165,102.14150000000001,118.357
Preparación,Nivel_Sistema,5499,41.457,68.0775,71.483,74.086,82.453
Preparación,Velocidad_Accionamiento,5499,951.679,1100.1819999999998,1142.851,1177.746,1290.152
Preparación,Horas_Operacion,5499,5103.111,13566.795,16692.546,19201.425499999998,24125.945
Refrigeración,Temperatura_Proceso,2444,-0.266,2.5147500000000003,3.444,4.435499999999999,8.889
Refrigeración,Vibracion_Equipo,2444,0.873,1.565,1.915,2.5335,5.596
Refrigeración,Presion_Sistema,2444,4.541,5.154,5.494,5.716,7.288
Refrigeración,Corriente_Motor,2444,50.686,59.47175,62.057,66.694,80.34
Refrigeración,Caudal_Proceso,2444,63.206,81.34325,87.72649999999999,92.12,104.128
Refrigeración,Nivel_Sistema,2444,51.467,66.50325,72.249,75.14975,83.591
Refrigeración,Velocidad_Accionamiento,2444,1588.374,1721.90325,1767.4540000000002,1814.633,1895.418
Refrigeración,Horas_Operacion,2444,8347.841,11414.42475,14047.431,16323.1365,22927.561
