Variable,Tipo_Dato,Valores_No_Nulos,Valores_Nulos,Pct_Nulos,Valores_Unicos
Identificador_Equipo,int64,17719,0,0.0,29
Codigo_Equipo_Origen,str,17719,0,0.0,29
Nombre_Equipo,str,17719,0,0.0,29
Tipo_Equipo,str,17719,0,0.0,12
Proceso,str,17719,0,0.0,5
Línea,str,17719,0,0.0,4
Criticidad,str,17719,0,0.0,3
Fecha_Observacion,str,17719,0,0.0,611
Temperatura_Proceso,float64,17719,0,0.0,12470
Vibracion_Equipo,float64,17719,0,0.0,3834
Presion_Sistema,float64,17719,0,0.0,3878
Corriente_Motor,float64,17719,0,0.0,13350
Caudal_Proceso,float64,17719,0,0.0,15770
Nivel_Sistema,float64,17719,0,0.0,12887
Velocidad_Accionamiento,float64,17719,0,0.0,17498
Horas_Operacion,float64,17719,0,0.0,17711
Falla_En_Los_Siguientes_Siete_Dias,float64,17516,203,1.15,2
Tiene_Horizonte_Completo_Siete_Dias,bool,17719,0,0.0,2
Conjunto_Temporal,str,17719,0,0.0,3
